Date,Time,Away Team,Home Team,Away Score,Home Score,Season
03.23(토),14:00,한화,LG,2,8,정규시즌
03.23(토),14:00,롯데,SSG,3,5,정규시즌
03.23(토),14:00,두산,NC,3,4,정규시즌
03.23(토),14:00,삼성,KT,6,2,정규시즌
03.23(토),14:00,키움,KIA,5,7,정규시즌
03.24(일),14:00,한화,LG,8,4,정규시즌
03.24(일),14:00,롯데,SSG,6,7,정규시즌
03.24(일),14:00,두산,NC,6,3,정규시즌
03.24(일),14:00,삼성,KT,11,8,정규시즌
03.26(화),18:30,삼성,LG,3,4,정규시즌
03.26(화),18:30,한화,SSG,6,0,정규시즌
03.26(화),18:30,키움,NC,5,10,정규시즌
03.26(화),18:30,두산,KT,8,5,정규시즌
03.26(화),18:30,롯데,KIA,1,2,정규시즌
03.27(수),18:30,삼성,LG,2,2,정규시즌
03.27(수),18:30,한화,SSG,3,1,정규시즌
03.27(수),18:30,키움,NC,2,6,정규시즌
03.27(수),18:30,두산,KT,11,8,정규시즌
03.27(수),18:30,롯데,KIA,2,8,정규시즌
03.28(목),18:30,삼성,LG,1,18,정규시즌
03.28(목),18:30,한화,SSG,10,6,정규시즌
03.28(목),18:30,두산,KT,7,8,정규시즌
03.29(금),18:30,KIA,두산,4,2,정규시즌
03.29(금),18:30,NC,롯데,1,3,정규시즌
03.29(금),18:30,SSG,삼성,6,4,정규시즌
03.29(금),18:30,LG,키움,3,0,정규시즌
03.29(금),18:30,KT,한화,2,3,정규시즌
03.30(토),14:00,KT,한화,5,8,정규시즌
03.30(토),17:00,KIA,두산,0,8,정규시즌
03.30(토),17:00,NC,롯데,8,0,정규시즌
03.30(토),17:00,SSG,삼성,9,6,정규시즌
03.30(토),17:00,LG,키움,3,8,정규시즌
03.31(일),14:00,KIA,두산,9,3,정규시즌
03.31(일),14:00,NC,롯데,8,7,정규시즌
03.31(일),14:00,SSG,삼성,4,3,정규시즌
03.31(일),14:00,LG,키움,4,8,정규시즌
03.31(일),14:00,KT,한화,3,14,정규시즌
04.02(화),18:30,NC,LG,7,5,정규시즌
04.02(화),18:30,두산,SSG,6,13,정규시즌
04.02(화),18:30,키움,삼성,8,3,정규시즌
04.02(화),18:30,KIA,KT,6,10,정규시즌
04.02(화),18:30,롯데,한화,1,0,정규시즌
04.03(수),18:30,NC,LG,0,5,정규시즌
04.03(수),18:30,두산,SSG,3,5,정규시즌
04.03(수),18:30,KIA,KT,5,1,정규시즌
04.04(목),18:30,NC,LG,7,8,정규시즌
04.04(목),18:30,두산,SSG,2,3,정규시즌
04.04(목),18:30,키움,삼성,10,1,정규시즌
04.04(목),18:30,KIA,KT,6,3,정규시즌
04.04(목),18:30,롯데,한화,5,6,정규시즌
04.05(금),18:30,KT,LG,8,7,정규시즌
04.05(금),18:30,두산,롯데,4,3,정규시즌
04.05(금),18:30,SSG,NC,0,5,정규시즌
04.05(금),18:30,삼성,KIA,2,5,정규시즌
04.05(금),18:30,한화,키움,7,11,정규시즌
04.06(토),17:00,KT,LG,4,8,정규시즌
04.06(토),17:00,두산,롯데,1,8,정규시즌
04.06(토),17:00,SSG,NC,3,16,정규시즌
04.06(토),17:00,삼성,KIA,7,4,정규시즌
04.06(토),17:00,한화,키움,6,7,정규시즌
04.07(일),14:00,KT,LG,7,16,정규시즌
04.07(일),14:00,두산,롯데,6,7,정규시즌
04.07(일),14:00,SSG,NC,1,10,정규시즌
04.07(일),14:00,삼성,KIA,7,3,정규시즌
04.07(일),14:00,한화,키움,3,4,정규시즌
04.09(화),18:30,한화,두산,3,5,정규시즌
04.09(화),18:30,키움,SSG,5,8,정규시즌
04.09(화),18:30,삼성,롯데,8,1,정규시즌
04.09(화),18:30,KT,NC,6,1,정규시즌
04.09(화),18:30,LG,KIA,2,7,정규시즌
04.10(수),14:00,한화,두산,4,7,정규시즌
04.10(수),14:00,키움,SSG,4,8,정규시즌
04.10(수),14:00,삼성,롯데,10,7,정규시즌
04.10(수),14:00,KT,NC,2,3,정규시즌
04.10(수),14:00,LG,KIA,4,5,정규시즌
04.11(목),18:30,한화,두산,3,0,정규시즌
04.11(목),18:30,키움,SSG,5,2,정규시즌
04.11(목),18:30,삼성,롯데,4,0,정규시즌
04.11(목),18:30,KT,NC,7,8,정규시즌
04.11(목),18:30,LG,KIA,4,8,정규시즌
04.12(금),18:30,LG,두산,2,1,정규시즌
04.12(금),18:30,NC,삼성,8,3,정규시즌
04.12(금),18:30,SSG,KT,3,8,정규시즌
04.12(금),18:30,롯데,키움,4,9,정규시즌
04.12(금),18:30,KIA,한화,8,4,정규시즌
04.13(토),14:00,KIA,한화,11,9,정규시즌
04.13(토),17:00,LG,두산,2,5,정규시즌
04.13(토),17:00,NC,삼성,4,3,정규시즌
04.13(토),17:00,SSG,KT,11,8,정규시즌
04.13(토),17:00,롯데,키움,1,8,정규시즌
04.14(일),14:00,LG,두산,5,9,정규시즌
04.14(일),14:00,NC,삼성,5,12,정규시즌
04.14(일),14:00,SSG,KT,8,1,정규시즌
04.14(일),14:00,롯데,키움,5,7,정규시즌
04.14(일),14:00,KIA,한화,5,2,정규시즌
04.16(화),18:30,롯데,LG,2,7,정규시즌
04.16(화),18:30,KIA,SSG,4,6,정규시즌
04.16(화),18:30,두산,삼성,5,7,정규시즌
04.16(화),18:30,한화,NC,7,4,정규시즌
04.16(화),18:30,KT,키움,3,6,정규시즌
04.17(수),18:30,롯데,LG,5,6,정규시즌
04.17(수),18:30,KIA,SSG,11,3,정규시즌
04.17(수),18:30,두산,삼성,2,9,정규시즌
04.17(수),18:30,한화,NC,3,4,정규시즌
04.17(수),18:30,KT,키움,6,4,정규시즌
04.18(목),18:30,롯데,LG,9,2,정규시즌
04.18(목),18:30,KIA,SSG,5,7,정규시즌
04.18(목),18:30,두산,삼성,2,5,정규시즌
04.18(목),18:30,KT,키움,3,0,정규시즌
04.19(금),18:30,키움,두산,8,19,정규시즌
04.19(금),18:30,LG,SSG,4,1,정규시즌
04.19(금),18:30,KT,롯데,3,4,정규시즌
04.19(금),18:30,NC,KIA,3,4,정규시즌
04.19(금),18:30,삼성,한화,1,6,정규시즌
04.20(토),17:00,NC,KIA,2,9,정규시즌
04.20(토),17:00,삼성,한화,1,0,정규시즌
04.21(일),14:00,NC,KIA,15,4,정규시즌
04.21(일),14:00,삼성,한화,5,3,정규시즌
04.21(일),14:00,키움,두산,8,4,정규시즌
04.21(일),14:00,LG,SSG,10,8,정규시즌
04.21(일),14:00,KT,롯데,9,9,정규시즌
04.21(일),17:00,키움,두산,1,2,정규시즌
04.21(일),17:00,LG,SSG,5,5,정규시즌
04.21(일),17:00,KT,롯데,5,7,정규시즌
04.23(화),18:30,NC,두산,3,4,정규시즌
04.23(화),18:30,LG,삼성,3,7,정규시즌
04.23(화),18:30,한화,KT,6,9,정규시즌
04.23(화),18:30,KIA,키움,5,2,정규시즌
04.24(수),18:30,NC,두산,3,1,정규시즌
04.24(수),18:30,SSG,롯데,12,7,정규시즌
04.24(수),18:30,LG,삼성,0,6,정규시즌
04.24(수),18:30,한화,KT,1,7,정규시즌
04.24(수),18:30,KIA,키움,6,4,정규시즌
04.25(목),18:30,NC,두산,3,7,정규시즌
04.25(목),18:30,SSG,롯데,3,6,정규시즌
04.25(목),18:30,LG,삼성,8,2,정규시즌
04.25(목),18:30,한화,KT,0,9,정규시즌
04.25(목),18:30,KIA,키움,13,2,정규시즌
04.26(금),18:30,KIA,LG,6,7,정규시즌
04.26(금),18:30,KT,SSG,2,5,정규시즌
04.26(금),18:30,롯데,NC,0,4,정규시즌
04.26(금),18:30,삼성,키움,3,0,정규시즌
04.26(금),18:30,두산,한화,10,5,정규시즌
04.27(토),14:00,KIA,LG,3,6,정규시즌
04.27(토),17:00,KT,SSG,5,2,정규시즌
04.27(토),17:00,롯데,NC,0,2,정규시즌
04.27(토),17:00,삼성,키움,11,0,정규시즌
04.27(토),17:00,두산,한화,5,10,정규시즌
04.28(일),14:00,KIA,LG,10,7,정규시즌
04.28(일),14:00,KT,SSG,6,11,정규시즌
04.28(일),14:00,롯데,NC,3,5,정규시즌
04.28(일),14:00,삼성,키움,11,6,정규시즌
04.28(일),14:00,두산,한화,17,8,정규시즌
04.30(화),18:30,삼성,두산,0,4,정규시즌
04.30(화),18:30,키움,롯데,9,7,정규시즌
04.30(화),18:30,LG,NC,0,8,정규시즌
04.30(화),18:30,KT,KIA,11,4,정규시즌
04.30(화),18:30,SSG,한화,2,8,정규시즌
05.01(수),18:30,삼성,두산,9,2,정규시즌
