Date,Time,Home Team,Away Team,Home Score,Away Score
3월 1일 (금),14:00,울산,포항,1,0
3월 1일 (금),16:30,전북,대전,1,1
3월 2일 (토),14:00,광주,서울,2,0
3월 2일 (토),16:30,인천,수원FC,0,1
3월 2일 (토),16:30,강원,제주,1,1
3월 3일 (일),14:00,대구,김천,0,1
3월 9일 (토),14:00,수원FC,전북,1,1
3월 9일 (토),16:30,포항,대구,3,1
3월 9일 (토),16:30,김천,울산,2,3
3월 10일 (일),14:00,제주,대전,3,1
3월 10일 (일),16:00,서울,인천,0,0
3월 10일 (일),16:30,광주,강원,4,2
3월 16일 (토),14:00,대전,강원,1,1
3월 16일 (토),16:30,서울,제주,2,0
3월 16일 (토),16:30,대구,수원FC,1,1
3월 17일 (일),14:00,포항,광주,1,0
3월 17일 (일),14:00,김천,전북,1,0
3월 17일 (일),16:30,울산,인천,3,3
3월 30일 (토),14:00,전북,울산,2,2
3월 30일 (토),14:00,인천,대전,2,0
3월 30일 (토),16:30,제주,포항,0,2
3월 30일 (토),16:30,수원FC,김천,1,4
3월 31일 (일),14:00,강원,서울,1,1
3월 31일 (일),16:30,광주,대구,1,2
4월 2일 (화),19:30,포항,수원FC,1,1
4월 2일 (화),19:30,대전,울산,2,0
4월 3일 (수),19:30,제주,전북,2,0
4월 3일 (수),19:30,서울,김천,5,1
4월 3일 (수),19:30,강원,대구,3,0
4월 3일 (수),19:30,광주,인천,2,3
4월 6일 (토),14:00,울산,수원FC,3,0
4월 6일 (토),16:30,인천,제주,0,1
4월 6일 (토),16:30,김천,광주,2,1
4월 7일 (일),14:00,전북,강원,2,3
4월 7일 (일),14:00,대구,서울,0,0
4월 7일 (일),16:30,대전,포항,1,2
4월 13일 (토),14:00,전북,광주,2,1
4월 13일 (토),14:00,서울,포항,2,4
4월 13일 (토),16:30,울산,강원,4,0
4월 13일 (토),16:30,제주,김천,0,2
4월 14일 (일),14:00,수원FC,대전,1,0
4월 14일 (일),16:30,인천,대구,1,1
4월 20일 (토),14:00,수원FC,제주,2,1
4월 20일 (토),16:30,포항,김천,0,0
4월 20일 (토),16:30,서울,전북,2,3
4월 21일 (일),14:00,강원,인천,4,1
4월 21일 (일),16:30,대구,대전,0,0
4월 27일 (토),14:00,대전,서울,3,1
4월 27일 (토),16:30,광주,수원FC,1,2
4월 27일 (토),16:30,김천,강원,1,0
4월 28일 (일),14:00,포항,인천,0,0
4월 28일 (일),14:00,전북,대구,2,2
4월 28일 (일),16:30,울산,제주,3,1
4월 30일 (화),19:30,대전,김천,0,0
4월 30일 (화),19:30,수원FC,서울,0,2
5월 1일 (수),19:00,제주,광주,1,3
5월 1일 (수),19:00,대구,울산,1,2
5월 1일 (수),19:00,인천,전북,3,0
5월 1일 (수),19:00,강원,포항,2,4
5월 4일 (토),14:30,서울,울산,0,1
5월 4일 (토),16:30,포항,전북,1,0
5월 5일 (일),14:00,수원FC,강원,1,2
5월 5일 (일),16:30,김천,인천,2,2
5월 6일 (월),14:00,제주,대구,1,0
5월 6일 (월),16:30,광주,대전,2,1
5월 11일 (토),16:30,인천,서울,1,2
5월 11일 (토),19:00,대구,광주,3,2
5월 11일 (토),19:00,강원,대전,3,3
5월 12일 (일),14:00,전북,수원FC,2,3
5월 12일 (일),16:30,울산,김천,2,2
5월 12일 (일),16:30,포항,제주,1,1
5월 15일 (수),16:30,광주,울산,2,1
5월 18일 (토),16:30,대전,인천,0,1
5월 18일 (토),19:00,김천,제주,1,0
5월 19일 (일),16:30,서울,대구,1,2
5월 19일 (일),16:30,강원,울산,1,0
5월 19일 (일),16:30,광주,전북,0,3
5월 19일 (일),19:00,수원FC,포항,1,0
5월 25일 (토),14:00,전북,김천,0,0
5월 25일 (토),16:30,울산,대전,4,1
5월 25일 (토),19:00,포항,서울,2,2
5월 25일 (토),19:00,인천,광주,1,1
5월 26일 (일),16:30,대구,강원,1,2
5월 26일 (일),19:00,제주,수원FC,1,0
5월 28일 (화),19:30,광주,포항,0,1
5월 28일 (화),19:30,김천,서울,0,0
5월 29일 (수),19:30,대전,제주,0,1
5월 29일 (수),19:30,인천,울산,1,1
5월 29일 (수),19:30,강원,전북,2,1
5월 29일 (수),19:30,수원FC,대구,2,0
6월 1일 (토),16:30,울산,전북,1,0
6월 1일 (토),19:00,수원FC,인천,3,1
6월 1일 (토),19:00,김천,포항,3,1
6월 2일 (일),16:30,제주,강원,1,2
6월 2일 (일),16:30,대전,대구,1,0
6월 2일 (일),19:00,서울,광주,1,2
6월 15일 (토),18:00,포항,대전,1,1
6월 15일 (토),19:00,광주,김천,2,0
6월 15일 (토),20:00,강원,수원FC,3,1
6월 16일 (일),18:00,울산,서울,2,2
6월 16일 (일),18:00,전북,인천,2,2
6월 16일 (일),19:00,대구,제주,1,0
6월 22일 (토),18:00,대구,전북,3,0
6월 22일 (토),19:00,대전,광주,2,1
6월 22일 (토),19:00,강원,김천,2,3
6월 22일 (토),20:00,서울,수원FC,3,0
6월 23일 (일),18:00,제주,울산,2,3
6월 23일 (일),18:00,인천,포항,1,3
6월 25일 (화),19:30,수원FC,광주,1,0
6월 25일 (화),19:30,김천,대전,2,0
